reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
DM_Asn_X_Ser_FSLASH_Thr_LPAREN_ly_RPAREN_,DM Asn-X-Ser/Thr(ly),Unknown,-2.177019678351824e-14,1.2380804530201337,-1.7583830461431424e-14,1.0000000000000175,LETHAL,optimal,0,,,Asn_DASH_DASH_DASH_X_DASH_DASH_DASH_Ser_DASH_FSLASH_DASH_Thr_l --> 
ADENOSYLHOMOCYSTEINASE_45_RXN,ADENOSYLHOMOCYSTEINASE-RXN,Unknown,-1.844931930806631e-16,1.2380804530201337,-1.4901551238501208e-16,1.0000000000000002,LETHAL,optimal,3,HS02273;HS09809;HS08293,AHCY;AHCYL1;AHCYL2,ADENOSYL_45_HOMO_45_CYS_c + WATER_c <=> ADENOSINE_c + HOMO_45_CYS_c
A_MANASEly,"alpha-mannosidase, lysosomal",Unknown,-3.689863861613262e-16,1.2380804530201337,-2.9803102477002417e-16,1.0000000000000002,LETHAL,optimal,1,4125_AT1,MAN2B1,2.0 h2o_l + m2mn_l --> 2.0 man_l + mn_l
B_MANNASEly,"beta-mannosidase, lysosomal",Unknown,-3.689863861613262e-16,1.2380804530201337,-2.9803102477002417e-16,1.0000000000000002,LETHAL,optimal,1,4126_AT1,MANBA,h2o_l + mn_l --> acgam_l + man_l
DSAT,dihydrosphingosine N-acyltransferase,Unknown,-1.844931930806631e-16,1.2380804530201337,-1.4901551238501208e-16,1.0000000000000002,LETHAL,optimal,0,,,Rtotalcoa_c + sphgn_c --> coa_c + dhcrm_DASH_hs_c + h_c
H2Otly,"H2O transport, lysosomal",Unknown,-3.689863861613262e-16,1.2380804530201337,-2.9803102477002417e-16,1.0000000000000002,LETHAL,optimal,0,,,WATER_c <=> h2o_l
MANtly,mannose efflux from lysosome,Unknown,-3.689863861613262e-16,1.2380804530201337,-2.9803102477002417e-16,1.0000000000000002,LETHAL,optimal,0,,,man_l --> D_45_mannopyranose_c
PHEt4,L-phenylalanine transport in via sodium symport,Unknown,-3.689863861613262e-16,1.2380804530201337,-2.9803102477002417e-16,1.0000000000000002,LETHAL,optimal,7,84889_AT1;11254_AT1;6541_AT1;55089_AT1;81539_AT1;6542_AT1;54407_AT1,SLC7A3;SLC6A14;SLC7A1;SLC38A4;SLC38A1;SLC7A2;SLC38A2,NA_43__e + PHE_e --> NA_43__c + PHE_c
RXN66_45_457,RXN66-457,Unknown,0.0,1.2380804530201337,0.0,1.0,LETHAL,optimal,2,HS09071;HS05853,SLC6A18;SLC38A2,LEU_e + NA_43__e <=> LEU_c + NA_43__c
2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,Unknown,0.0,1.2380804530201337,0.0,1.0,LETHAL,optimal,7,3945_AT1;3948_AT2;55293_AT1;3939_AT1;160287_AT1;92483_AT1;3948_AT1,LDHB;LDHC;UEVLD;LDHA;LDHAL6A;LDHAL6B;LDHC,2hb_c + nad_c <=> 2obut_c + h_c + nadh_c
2HBt2,2-hydroxybutyrate cotransport with proton,Unknown,0.0,1.2380804530201337,0.0,1.0,LETHAL,optimal,3,9123_AT1;9194_AT1;6566_AT1,SLC16A3;SLC16A7;SLC16A1,2hb_e + h_e <=> 2hb_c + h_c
3DSPHR,3-Dehydrosphinganine reductase,Unknown,0.0,1.2380804530201337,0.0,1.0,LETHAL,optimal,1,2531_AT1,KDSR,3dsphgn_c + NADPH_c + h_c --> nadp_c + sphgn_c
ACGAMtly,N-acetyl-glucosamine lysosomal efflux,Unknown,0.0,1.2380804530201337,0.0,1.0,LETHAL,optimal,0,,,acgam_l --> N_45_acetyl_45_D_45_glucosamine_c
METt4,L-methionine transport in via sodium symport,Unknown,0.0,1.2380804530201337,0.0,1.0,LETHAL,optimal,4,54407_AT1;6584_AT1;81539_AT1;11254_AT1,SLC38A2;SLC22A5;SLC38A1;SLC6A14,NA_43__e + met_DASH_DASH_DASH_L_e --> MET_c + NA_43__c
PHOSMANMUT_45_RXN,PHOSMANMUT-RXN,Unknown,1.844931930806631e-16,1.2380804530201337,1.4901551238501208e-16,0.9999999999999999,LETHAL,optimal,2,HS02079;HS06747,PMM1;PMM2,MANNOSE_45_1P_c <=> CPD_45_15979_c
AMETt2m,"S-Adenosyl-L-methionine reversible transport, mitochondrial",Unknown,1.844931930806631e-16,1.2380804530201337,1.4901551238501208e-16,0.9999999999999999,LETHAL,optimal,3,115286_AT3;115286_AT1;115286_AT2,SLC25A26;SLC25A26;SLC25A26,ahcys_m + amet_c <=> ADENOSYL_45_HOMO_45_CYS_c + amet_m
DHCRD1,dihydroceramide desaturase,Unknown,1.844931930806631e-16,1.2380804530201337,1.4901551238501208e-16,0.9999999999999999,LETHAL,optimal,2,8560_AT1;8560_AT2,DEGS1;DEGS1,dhcrm_DASH_hs_c + nadp_c --> NADPH_c + crm_DASH_hs_c + h_c
ILEt4,L-isoleucine transport in via sodium symport,Unknown,1.844931930806631e-16,1.2380804530201337,1.4901551238501208e-16,0.9999999999999999,LETHAL,optimal,1,11254_AT1,SLC6A14,NA_43__e + ile_DASH_DASH_DASH_L_e --> ILE_c + NA_43__c
PCFLOPm,phosphatidylcholine flippase,Unknown,1.844931930806631e-16,1.2380804530201337,1.4901551238501208e-16,0.9999999999999999,LETHAL,optimal,1,57194_AT1,ATP10A,WATER_c + atp_c + pchol_DASH_hs_m --> adp_c + h_c + pchol_DASH_hs_c + pi_c
PETOHMm_hs,phosphatidylethanolamine N-methyltransferase,Unknown,1.844931930806631e-16,1.2380804530201337,1.4901551238501208e-16,0.9999999999999999,LETHAL,optimal,3,10400_AT1;10400_AT2;10400_AT3,PEMT;PEMT;PEMT,3.0 amet_m + pe_DASH_hs_m --> 3.0 ahcys_m + 3.0 h_m + pchol_DASH_hs_m
PSSA1_hs,Phosphatidylserine synthase homo sapiens,Unknown,1.844931930806631e-16,1.2380804530201337,1.4901551238501208e-16,0.9999999999999999,LETHAL,optimal,1,9791_AT1,PTDSS1,SER_c + pchol_DASH_hs_c <=> chol_c + ps_DASH_hs_c
SMS,Sphingomyelin synthase (homo sapiens),Unknown,1.844931930806631e-16,1.2380804530201337,1.4901551238501208e-16,0.9999999999999999,LETHAL,optimal,1,259230_AT1,SGMS1,crm_DASH_hs_c + pchol_DASH_hs_c --> DIACYLGLYCEROL_c + sphmyln_DASH_hs_c
VALt4,L-valine transport in via sodium symport,Unknown,1.844931930806631e-16,1.2380804530201337,1.4901551238501208e-16,0.9999999999999999,LETHAL,optimal,1,11254_AT1,SLC6A14,NA_43__e + val_DASH_DASH_DASH_L_e --> NA_43__c + VAL_c
METAT,methionine adenosyltransferase,Unknown,1.2914523515646416e-15,1.2380804530201337,1.0431085866950846e-15,0.999999999999999,LETHAL,optimal,4,4143_AT1;27430_AT2;4144_AT1;27430_AT1,MAT1A;MAT2B;MAT2A;MAT2B,MET_c + WATER_c + atp_c --> amet_c + pi_c + ppi_c
PRPPS,phosphoribosylpyrophosphate synthetase,Unknown,6.826248143984534e-15,1.2380804530201337,5.513573958245446e-15,0.9999999999999944,LETHAL,optimal,4,221823_AT2;5634_AT1;5631_AT1;221823_AT1,PRPS1L1;PRPS2;PRPS1;PRPS1L1,atp_c + r5p_c <=> amp_c + h_c + prpp_c
GK1,guanylate kinase (GMP:ATP),Unknown,7.74871410938785e-15,1.2380804530201337,6.258651520170507e-15,0.9999999999999938,LETHAL,optimal,1,2987_AT1,GUK1,atp_c + gmp_c <=> adp_c + gdp_c
