gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_reactions,reactions
175_AT1,AGA,-2.4627487126886753e-15,1.2594592320261357,-1.9554016915075257e-15,1.000000000000002,LETHAL,optimal,2,GASNASE2ly;GASNASEly
57194_AT1,ATP10A,-1.8944220866835963e-16,1.2594592320261357,-1.5041551473134812e-16,1.0000000000000002,LETHAL,optimal,3,PSFLIPm;PCFLOPm;PEFLIPm
9791_AT1,PTDSS1,-1.8944220866835963e-16,1.2594592320261357,-1.5041551473134812e-16,1.0000000000000002,LETHAL,optimal,1,PSSA1_hs
259230_AT1,SGMS1,-1.8944220866835963e-16,1.2594592320261357,-1.5041551473134812e-16,1.0000000000000002,LETHAL,optimal,1,SMS
11254_AT1,SLC6A14,0.0,1.2594592320261357,0.0,1.0,LETHAL,optimal,8,METt4;LYSt4;PHEt4;TRPt4;ILEt4;TYRt4;VALt4;ARGt4
4125_AT1,MAN2B1,0.0,1.2594592320261357,0.0,1.0,LETHAL,optimal,1,A_MANASEly
4126_AT1,MANBA,0.0,1.2594592320261357,0.0,1.0,LETHAL,optimal,1,B_MANNASEly
51727_AT1,CMPK1,0.0,1.2594592320261357,0.0,1.0,LETHAL,optimal,40,CYTK1;UMPK2n;CYTK2;CYTK9;CYTK10;UMPK3;CYTK2n;CYTK9n;CYTK10n;UMPK3n
2531_AT1,KDSR,3.7888441733671925e-16,1.2594592320261357,3.0083102946269625e-16,0.9999999999999997,LETHAL,optimal,1,3DSPHR
2987_AT1,GUK1,6.251592886055868e-14,1.2594592320261357,4.963711986134488e-14,0.9999999999999504,LETHAL,optimal,2,GK1;DGK1
