reaction_id,reaction_name,subsystem,host_flux,host_baseline,host_growth_pct,host_status,num_genes,gene_ids,gene_names,equation,virus_flux,virus_baseline,virus_growth_pct,virus_status,selectivity_score,target_class
UAGDP,UDP-N-acetylglucosamine diphosphorylase,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,2,6675_AT1;91373_AT1,UAP1;UAP1L1,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,0.0,0.2814317775193228,0.0,LETHAL,100.0,CRITICAL_VIRAL_TARGET
ACGAMPM,Phosphoacetylglucosamine mutase,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,5238_AT1,PGM3,acgam6p_c <=> acgam1p_c,0.0,0.2814317775193228,0.0,LETHAL,100.0,CRITICAL_VIRAL_TARGET
GK1,Guanylate kinase (GMP:ATP),Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,2987_AT1,GUK1,atp_c + gmp_c <=> adp_c + gdp_c,0.0,0.2814317775193228,0.0,LETHAL,100.0,CRITICAL_VIRAL_TARGET
NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),Unknown,0.004129972159031681,0.23437252228949343,1.7621400830983083,SIGNIFICANT,7,29922_AT1;4830_AT1;29922_AT2;4832_AT1;10201_AT1;4830_AT2;4831_AT1,NME7;NME1;NME7;NME3;NME6;NME1;NME2,atp_c + udp_c <=> adp_c + utp_c,0.0,0.2814317775193228,0.0,LETHAL,1.7621400830983083,CRITICAL_VIRAL_TARGET
UMPK5,UMP kinase (dATP),Unknown,0.004129972159031681,0.23437252228949343,1.7621400830983083,SIGNIFICANT,1,51727_AT1,CMPK1,datp_c + ump_c <=> dadp_c + udp_c,0.0,0.2814317775193228,0.0,LETHAL,1.7621400830983083,CRITICAL_VIRAL_TARGET
CDIPTr,Phosphatidylinositol synthase (Homo sapiens),Unknown,0.0,0.23437252228949343,0.0,LETHAL,2,10423_AT2;10423_AT1,CDIPT;CDIPT,cdpdag_hs_c + inost_c <=> cmp_c + h_c + pail_hs_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
NADPHtru,"NADPH transporter, endoplasmic reticulum",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,nadph_c --> nadph_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
CHSTEROLt3,Cholesterol intracellular transport,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,chsterol_c <=> chsterol_m,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
CHSTEROLt2,Cholesterol intracellular transport,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,chsterol_r <=> chsterol_m,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
DPMVDx,Diphosphomevalonate decarboxylase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,4597_AT1,MVD,5dpmev_x + atp_x --> adp_x + co2_x + ipdp_x + pi_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
GRTTx,Geranyltranstransferase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,2224_AT1,FDPS,grdp_x + ipdp_x --> frdp_x + ppi_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
FRDPtr,"Lipid, flip-flop intracellular transport",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,frdp_x <=> frdp_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
COAtp,"Coenzyme A transport, peroxisomal",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,coa_c <=> coa_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
NADPtru,"NADP transporter, endoplasmic reticulum",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,nadp_r --> nadp_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
3DSPHR,3 Dehydrosphinganine reductase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,2531_AT1,KDSR,3dsphgn_c + h_c + nadph_c --> nadp_c + sphgn_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
C4STMO1r,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,6307_AT1,MSMO1,44mzym_r + 3.0 h_r + 3.0 nadph_r + 3.0 o2_r --> 4mzym_int1_r + 4.0 h2o_r + 3.0 nadp_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
NADPHtxu,"NADPH transport, glyoxysome",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,nadph_c --> nadph_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
PPItx,"Diphosphate transporter, peroxisome",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,ppi_c <=> ppi_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
NADPtxu,"NADP transport, glyoxysome",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,nadp_x --> nadp_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
CRNtim,L carnitine transport out of mitochondria via diffusion,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,788_AT1,SLC25A20,crn_m --> crn_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
PPAer,"Inorganic diphosphatase, endoplasmic reticulum",Unknown,0.0,0.23437252228949343,0.0,LETHAL,3,57818_AT1;92579_AT1;2538_AT1,G6PC2;G6PC3;G6PC,h2o_r + ppi_r --> h_r + 2.0 pi_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
PItx,"Phosphate transporter, peroxisome",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,pi_c <=> pi_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
PIter,"Phosphate transport, endoplasmic reticulum",Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,2544_AT1,2544_AT1,pi_r <=> pi_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
PMEVKx,Phosphomevalonate kinase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,10654_AT1,PMVK,5pmev_x + atp_x --> 5dpmev_x + adp_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
DMATTx,Dimethylallyltranstransferase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,2224_AT1,FDPS,dmpp_x + ipdp_x --> grdp_x + ppi_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
C14STRr,C-14 sterol reductase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,7108_AT1,TM7SF2,44mctr_r + h_r + nadph_r --> 44mzym_r + nadp_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
O2t,O2 transport  diffusion,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,o2_e <=> o2_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
O2ter,O2  transport  endoplasmic reticulum,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,o2_c <=> o2_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
PEFLIP,Phosphatidylethanolamine flippase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,2,57194_AT1;10396_AT1,ATP10A;ATP8A1,atp_c + h2o_c + pe_hs_e --> adp_c + h_c + pe_hs_c + pi_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
C3STKR2r,C-3 sterol keto reductase (zymosterol),Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,3295_AT1,HSD17B4,h_r + nadph_r + zym_int2_r --> nadp_r + zymst_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
