reaction_id,reaction_name,subsystem,host_flux,host_baseline,host_growth_pct,host_status,num_genes,gene_ids,gene_names,equation,virus_flux,virus_baseline,virus_growth_pct,virus_status,selectivity_score,target_class
UAGDP,UDP-N-acetylglucosamine diphosphorylase,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,2,6675_AT1;91373_AT1,UAP1;UAP1L1,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,0.0,0.2814317775193228,0.0,LETHAL,100.0,CRITICAL_VIRAL_TARGET
GK1,Guanylate kinase (GMP:ATP),Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,2987_AT1,GUK1,atp_c + gmp_c <=> adp_c + gdp_c,0.0,0.2814317775193228,0.0,LETHAL,100.0,CRITICAL_VIRAL_TARGET
ACGAMPM,Phosphoacetylglucosamine mutase,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,5238_AT1,PGM3,acgam6p_c <=> acgam1p_c,0.0,0.2814317775193228,0.0,LETHAL,100.0,CRITICAL_VIRAL_TARGET
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,64841_AT1,GNPNAT1,accoa_c + gam6p_c --> acgam6p_c + coa_c + h_c,0.017256403480807966,0.2814317775193228,6.131647119921687,SIGNIFICANT,93.86835288007832,HIGH_CONFIDENCE_TARGET
GF6PTA,Glutamine-fructose-6-phosphate transaminase,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,2,9945_AT1;2673_AT1,GFPT2;GFPT1,f6p_c + gln__L_c --> gam6p_c + glu__L_c,0.06446731866415052,0.2814317775193228,22.90690810838668,SIGNIFICANT,77.09309189161331,SELECTIVE_TARGET
METAT,Methionine adenosyltransferase,Unknown,0.22081439917212925,0.23437252228949343,94.21513964823171,MINIMAL,4,4144_AT1;27430_AT2;4143_AT1;27430_AT1,MAT2A;MAT2B;MAT1A;MAT2B,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,0.06789510869040215,0.2814317775193228,24.124890688913244,SIGNIFICANT,70.09024895931847,SELECTIVE_TARGET
AHCi,Adenosylhomocysteinase,Unknown,0.22081439917212925,0.23437252228949343,94.21513964823171,MINIMAL,3,191_AT1;10768_AT2;10768_AT1,AHCY;AHCYL1;AHCYL1,ahcys_c + h2o_c <=> adn_c + hcys__L_c,0.06789510869040216,0.2814317775193228,24.12489068891325,SIGNIFICANT,70.09024895931846,SELECTIVE_TARGET
NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),Unknown,0.004129972159031681,0.23437252228949343,1.7621400830983083,SIGNIFICANT,7,29922_AT1;4830_AT1;29922_AT2;4832_AT1;10201_AT1;4830_AT2;4831_AT1,NME7;NME1;NME7;NME3;NME6;NME1;NME2,atp_c + udp_c <=> adp_c + utp_c,0.0,0.2814317775193228,0.0,LETHAL,1.7621400830983083,CRITICAL_VIRAL_TARGET
UMPK5,UMP kinase (dATP),Unknown,0.004129972159031681,0.23437252228949343,1.7621400830983083,SIGNIFICANT,1,51727_AT1,CMPK1,datp_c + ump_c <=> dadp_c + udp_c,0.0,0.2814317775193228,0.0,LETHAL,1.7621400830983083,CRITICAL_VIRAL_TARGET
3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,2806_AT1,GOT2,3sala_m + akg_m + h_m --> 3snpyr_m + glu__L_m,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
34DHPLACOX_NADP,34DHPLACOX LPAREN NADP RPAREN,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,3,218_AT1;222_AT1;221_AT1,ALDH3A1;ALDH3B2;ALDH3B1,34dhpac_c + h2o_c + nadp_c <=> 34dhpha_c + 2.0 h_c + nadph_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
