subsystem,total_reactions,critical_viral_targets,high_confidence_targets,selective_targets,non_selective_toxic,not_a_target,avg_host_growth_pct,avg_virus_growth_pct,avg_selectivity_score,max_selectivity_score,essentiality_score,sample_selective_reactions
Pyrimidine synthesis,15,6,0,0,0,9,53.333333333762155,60.000000000941846,-6.666666667179693,1.8579413563202252e-09,0.4,Aspartate Carbamoyltransferase (Reversible);Orotate Phosphoribosyltransferase;Orotidine-5'-Phosphate Decarboxylase
Aminosugar metabolism,21,8,0,0,0,13,100.0000000006354,61.90476190529274,38.09523809534264,100.00000000185794,0.38095238095238093,"GDP-L-Fucose:NADP+ 4-Oxidoreductase (3, 5-Epimerizing);UDP-N-Acetylglucosamine Diphosphorylase;UDP-N-Acetyl-D-Glucosamine 2-Epimerase (Hydrolysis)"
Triacylglycerol synthesis,6,2,0,0,0,4,66.6666666669698,66.66666666681805,1.517506120762846e-10,4.55301574220357e-10,0.3333333333333333,1-Acylglycerol-3-Phosphate O-Acyltransferase 1;Glycerol-3-Phosphate Acyltransferase
Galactose metabolism,7,2,0,0,0,5,100.00000000099114,71.4285714295032,28.57142857148794,100.00000000140317,0.2857142857142857,UDPglucose 4-Epimerase;UTP-Glucose-1-Phosphate Uridylyltransferase
Glycerophospholipid metabolism,226,60,0,0,1,165,73.08181401398159,73.03401255479255,0.047801459189048566,10.803129806048151,0.26548672566371684,Phosphatidylglycerol Phosphate Phosphatase (Homo Sapiens);Glycerol-3-Phosphate 1-O-Acyltransferase;Glycerol-3-Phosphate 1-O-Acyltransferase
Fructose and mannose metabolism,20,2,0,0,0,18,100.00000000043198,90.00000000080811,9.99999999962385,100.00000000045479,0.1,GDP-D-Mannose Dehydratase;Phosphomannomutase
"Valine, leucine, and isoleucine metabolism",21,2,0,0,0,19,90.47619047655859,90.47619047597159,5.869890594652199e-10,1.6988840090057647e-08,0.09523809523809523,"3-Methylbutanoyl Coenzyme A: (Acceptor) 2, 3-Oxidoreductase Valine, Leucine And Isoleucine Degradation;Acyl Coenzyme A Dehydrogenase (Isovaleryl Coenzyme A), Mitochondrial"
Sphingolipid metabolism,89,6,0,0,0,83,93.25842696659343,93.25842696722046,-6.270269796515821e-10,1.7143548802778241e-09,0.06741573033707865,Ceramidase;Sphingosine N-Acyltransferase;Serine C-Palmitoyltransferase
Glycolysis/gluconeogenesis,33,2,0,0,0,31,93.93939394004788,93.93939394037285,-3.249703805715509e-10,1.7143548802778241e-09,0.06060606060606061,Phosphoglycerate Mutase;Enolase
Miscellaneous,122,6,0,0,0,116,95.0819672135075,95.08196721377273,-2.652569020535681e-10,1.403265059707337e-09,0.04918032786885246,Glycerol-3-Phosphate 1-O-Acyltransferase;Glycerol-3-Phosphate 1-O-Acyltransferase;Glycerol-3-Phosphate 1-O-Acyltransferase
