gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_reactions,reactions
2222_AT1,FDFT1,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,1,SQLSr
9517_AT1,SPTLC2,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,1,SERPT
6307_AT1,MSMO1,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,2,C4STMO1r;C4STMO2r
2224_AT1,FDPS,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,2,GRTTx;DMATTx
3156_AT1,HMGCR,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,1,HMGCOARx
2531_AT1,KDSR,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,1,3DSPHR
8833_AT1,GMPS,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,1,GMPS2
1717_AT1,DHCR7,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,2,DHCR72r;DHCR71r
10682_AT1,EBP,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,2,EBP2r;EBP1r
4598_AT1,MVK,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,1,MEVK1x
6713_AT1,SQLE,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,1,SQLEr
51727_AT1,CMPK1,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,5,CYTK11n;CYTK3n;CYTK13n;CYTK4n;UMPK5
50814_AT1,NSDHL,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,4,C3STDH1Pr;C3STDH1r;C4STMO2Pr;C4STMO2r
3295_AT1,HSD17B4,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,20,FAOXC16080x;FAOXC260240x;FAOXC240200x;C3STKR2r;FAOXC200180x;FAOXC183806x;FAOXC180x;FAOXC2242046x;FAOXC246226x;HSD17B4x
1376_AT1,CPT2,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,26,ADRNCPT2;C180CPT2;RTOTALCRNCPT2;RTOTAL3CRNCPT2;STRDNCCPT2;TMNDNCCPT2;C161CPT22;C160CPT2;EICOSTETCPT2;DLNLCGCPT2
6309_AT1,SC5D,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,2,LSTO1r;LSTO2r
4597_AT1,MVD,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,1,DPMVDx
7108_AT1,TM7SF2,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,1,C14STRr
2987_AT1,GUK1,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,2,DGK1;GK1
2544_AT1,2544_AT1,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,1,PIter
10558_AT1,SPTLC1,0.0,0.2814317775193228,0.0,0.0,LETHAL,optimal,1,SERPT
