reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_genes,gene_ids,gene_names,equation
r0655,"3-Methylbutanoyl Coenzyme A: (Acceptor) 2, 3-Oxidoreductase Valine, Leucine And Isoleucine Degradation","Valine, leucine, and isoleucine metabolism",-5.016474290564337e-12,0.029528056441593797,-1.6988840090057648e-10,-1.6988840090057647e-08,LETHAL,optimal,2,34.1;3712.1,G_34__46__1;G_3712__46__1,ivcoa[m] + q10[m] <=> 3mb2coa[m] + q10h2[m]
HMR_0538,Glycerol-3-Phosphate 1-O-Acyltransferase,Glycerophospholipid metabolism,0.0,0.029528056441593797,0.0,0.0,LETHAL,optimal,4,84803.1;57678.1;150763.1;137964.1,G_84803__46__1;G_57678__46__1;G_150763__46__1;G_137964__46__1,adrncoa[c] + glyc3p[c] --> M00460[c] + coa[c]
ACNAM9PL,N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating),Aminosugar metabolism,0.0,0.029528056441593797,0.0,0.0,LETHAL,optimal,1,54187.1,G_54187__46__1,acmanap[c] + h2o[c] + pep[c] --> acnamp[c] + pi[c]
DHORD9,Dihydoorotic Acid Dehydrogenase (Quinone 10),Pyrimidine synthesis,0.0,0.029528056441593797,0.0,0.0,LETHAL,optimal,1,1723.1,G_1723__46__1,dhor_S[c] + q10[m] --> orot[c] + q10h2[m]
HMR_2296,Stearoyl Coenzyme A 9-Desaturase,Fatty acid synthesis,0.0,0.029528056441593797,0.0,0.0,LETHAL,optimal,2,79966.1;6319.1,G_79966__46__1;G_6319__46__1,h[c] + nadph[c] + o2[c] + stcoa[c] --> M00116[c] + 2.0 h2o[c] + nadp[c]
ACGAMPM,Phosphoacetylglucosamine Mutase,Aminosugar metabolism,0.0,0.029528056441593797,0.0,0.0,LETHAL,optimal,1,5238.1,G_5238__46__1,acgam6p[c] <=> acgam1p[c]
r1185,Glycerol-3-Phosphate 1-O-Acyltransferase,Miscellaneous,0.0,0.029528056441593797,0.0,0.0,LETHAL,optimal,2,84803.1;137964.1,G_84803__46__1;G_137964__46__1,glyc3p[c] + pmtcoa[c] --> HC02029[c] + coa[c]
r1186,Glycerol-3-Phosphate 1-O-Acyltransferase,Miscellaneous,0.0,0.029528056441593797,0.0,0.0,LETHAL,optimal,2,84803.1;137964.1,G_84803__46__1;G_137964__46__1,glyc3p[c] + hdd2coa[c] --> HC02030[c] + coa[c]
r1187,Glycerol-3-Phosphate 1-O-Acyltransferase,Miscellaneous,0.0,0.029528056441593797,0.0,0.0,LETHAL,optimal,2,84803.1;137964.1,G_84803__46__1;G_137964__46__1,glyc3p[c] + stcoa[c] --> HC02031[c] + coa[c]
r1188,Glycerol-3-Phosphate 1-O-Acyltransferase,Miscellaneous,0.0,0.029528056441593797,0.0,0.0,LETHAL,optimal,2,84803.1;137964.1,G_84803__46__1;G_137964__46__1,glyc3p[c] + odecoa[c] --> HC02032[c] + coa[c]
r1189,Glycerol-3-Phosphate 1-O-Acyltransferase,Miscellaneous,0.0,0.029528056441593797,0.0,0.0,LETHAL,optimal,2,84803.1;137964.1,G_84803__46__1;G_137964__46__1,glyc3p[c] + lnlccoa[c] --> HC02033[c] + coa[c]
r1190,Glycerol-3-Phosphate 1-O-Acyltransferase,Miscellaneous,0.0,0.029528056441593797,0.0,0.0,LETHAL,optimal,2,84803.1;137964.1,G_84803__46__1;G_137964__46__1,arachdcoa[c] + glyc3p[c] --> HC02036[c] + coa[c]
HMR_0505,Glycerol-3-Phosphate 1-O-Acyltransferase,Glycerophospholipid metabolism,0.0,0.029528056441593797,0.0,0.0,LETHAL,optimal,4,84803.1;57678.1;150763.1;137964.1,G_84803__46__1;G_57678__46__1;G_150763__46__1;G_137964__46__1,glyc3p[c] + lneldccoa[c] --> M00458[c] + coa[c]
